时间,指标值,控制量,整点标记
2024-08-13 09:19:00,99.744,60.07,0
2024-08-13 09:20:00,99.741,60.28,0
2024-08-13 09:21:00,99.739,60.44,0
2024-08-13 09:22:00,99.738,60.55,0
2024-08-13 09:23:00,99.737,60.67,0
2024-08-13 09:24:00,99.736,60.79,0
2024-08-13 09:25:00,99.736,60.87,0
2024-08-13 09:26:00,99.737,60.9,0
2024-08-13 09:27:00,99.739,60.89,0
2024-08-13 09:28:00,99.741,60.88,0
2024-08-13 09:29:00,99.745,60.78,0
2024-08-13 09:30:00,99.749,60.68,0
2024-08-13 09:31:00,99.754,60.53,0
2024-08-13 09:32:00,99.761,60.29,0
2024-08-13 09:33:00,99.768,60.05,0
2024-08-13 09:34:00,99.775,59.82,0
2024-08-13 09:35:00,99.784,59.49,0
2024-08-13 09:36:00,99.793,59.17,0
2024-08-13 09:37:00,99.802,58.85,0
2024-08-13 09:38:00,99.811,58.53,0
2024-08-13 09:39:00,99.821,58.17,0
2024-08-13 09:40:00,99.831,57.81,0
2024-08-13 09:41:00,99.84,57.5,0
2024-08-13 09:42:00,99.85,57.15,0
2024-08-13 09:43:00,99.858,56.9,0
2024-08-13 09:44:00,99.866,56.65,0
2024-08-13 09:45:00,99.874,56.41,0
2024-08-13 09:46:00,99.881,56.22,0
2024-08-13 09:47:00,99.886,56.13,0
2024-08-13 09:48:00,99.891,56.04,0
2024-08-13 09:49:00,99.895,56.01,0
2024-08-13 09:50:00,99.897,56.08,0
2024-08-13 09:51:00,99.898,56.21,0
2024-08-13 09:52:00,99.898,56.38,0
2024-08-13 09:53:00,99.897,56.61,0
2024-08-13 09:54:00,99.895,56.89,0
2024-08-13 09:55:00,99.892,57.22,0
2024-08-13 09:56:00,99.887,57.66,0
2024-08-13 09:57:00,99.882,58.1,0
2024-08-13 09:58:00,99.876,58.58,0
2024-08-13 09:59:00,99.869,59.12,0
